"id","exam_id","module_type","question_number","question_type","difficulty_level","question_markdown_backup","question_image_url","options_markdown_backup","correct_answer","explanation_markdown_backup","points","topic_tags","created_at","updated_at","table_data","correct_answers","content_format","question_html","options_html","explanation_html","question_text","options","explanation","html_migration_status","deleted_at"
"2d5ba715-b354-44f4-bdd8-617ee04ae7b5","6f7b3016-ee5f-467c-900d-20aaad9d4e2e","english1","1","multiple_choice","medium","The following text is from Mark Twain’s 1876 novel The Adventures of Tom Sawyer. Tom, a child, has been told by his aunt to paint their house’s fence.Tom appeared on the sidewalk with a bucket of whitewash and a long-handled brush. He surveyed the fence, and all gladness left him and a deep melancholy settled down upon his spirit. Thirty yards of board fence nine feet high.

As used in the text, what does the word “surveyed” most nearly mean?","","{""A"":""Looked at"",""B"":""Had questions about"",""C"":""Organized"",""D"":""Was captivated by""}","[""A""]","","1","[""reading_comprehension""]","2025-09-06T05:39:20.095771+00:00","2025-09-06T05:39:20.095771+00:00","","","html","<div style=""font-size: 16px;"">
        <style>
          ul { list-style: disc !important; margin-left: 1.2em; }
          h4 { font-weight: bold !important; margin-top: 1.5em; }
        </style>
        <p>The following text is from Mark Twain’s 1876 novel <i>The Adventures of Tom Sawyer</i>. Tom, a child, has been told by his aunt to paint their house’s fence.</p><blockquote style=""margin-left: 15px;""><p>Tom appeared on the sidewalk with a bucket of whitewash and a long-handled brush. He <u>surveyed</u> the fence, and all gladness left him and a deep melancholy settled down upon his spirit. Thirty yards of board fence nine feet high.</p></blockquote>
      </div>
      <div style=""font-size: 16px;"">
        <style>
          ul { list-style: disc !important; margin-left: 1.2em; }
          h4 { font-weight: bold !important; margin-top: 1.5em; }
        </style>
        <br>As used in the text, what does the word “surveyed” most nearly mean?
      <div><div>","","","The following text is from Mark Twain’s 1876 novel The Adventures of Tom Sawyer. Tom, a child, has been told by his aunt to paint their house’s fence.Tom appeared on the sidewalk with a bucket of whitewash and a long-handled brush. He surveyed the fence, and all gladness left him and a deep melancholy settled down upon his spirit. Thirty yards of board fence nine feet high.

As used in the text, what does the word “surveyed” most nearly mean?","{""A"":""Looked at"",""B"":""Had questions about"",""C"":""Organized"",""D"":""Was captivated by""}","","pending",""
"c6d36c6b-5d8c-48a0-be5c-28830aff8e00","550e8400-e29b-41d4-a716-446655440001","math1","1","multiple_choice","medium","The graph shows a toy car's height above the ground $y$, in inches, $x$ seconds after it started moving on an elevated track. Which of the following is the best interpretation of the $y$-intercept of the graph?","","{""A"":""The toy car's height was 0 inches above the ground 8 seconds after it started moving."",""B"":""The toy car's height was 8 inches above the ground when it started moving."",""C"":""The toy car's minimum height was 0 inches above the ground."",""D"":""The toy car's minimum height was 8 inches above the ground.""}","B","","1","[""function interpretation"",""graphing"",""physics applications""]","2025-08-12T04:29:52.016341+00:00","2025-09-06T00:16:43.464744+00:00","","","markdown","<p>The graph shows a toy car&#39;s height above the ground <span data-math=""y"" data-inline=""true""></span>, in inches, <span data-math=""x"" data-inline=""true""></span> seconds after it started moving on an elevated track. Which of the following is the best interpretation of the <span data-math=""y"" data-inline=""true""></span>-intercept of the graph?</p>","{""A"":""The toy car's height was 0 inches above the ground 8 seconds after it started moving."",""B"":""The toy car's height was 8 inches above the ground when it started moving."",""C"":""The toy car's minimum height was 0 inches above the ground."",""D"":""The toy car's minimum height was 8 inches above the ground.""}","","<p>The graph shows a toy car&#39;s height above the ground <span data-math=""y"" data-inline=""true""></span>, in inches, <span data-math=""x"" data-inline=""true""></span> seconds after it started moving on an elevated track. Which of the following is the best interpretation of the <span data-math=""y"" data-inline=""true""></span>-intercept of the graph?</p>","{""A"":""The toy car's height was 0 inches above the ground 8 seconds after it started moving."",""B"":""The toy car's height was 8 inches above the ground when it started moving."",""C"":""The toy car's minimum height was 0 inches above the ground."",""D"":""The toy car's minimum height was 8 inches above the ground.""}","","converted",""
"3bfbc372-c0df-4981-a282-ca3420eb667b","f47ac10b-58cc-4372-a567-0e02b2c3d391","math2","1","multiple_choice","easy","The speed of a white-throated needletail, a type of bird, in flight was measured to be $49$ miles per hour. What was the white-throated needletail's measured speed, in kilometers per hour? (Use $1$ mile = $1.6$ kilometers.)","","{""A"":""30.6"",""B"":""47.4"",""C"":""50.6"",""D"":""78.4""}","[""D""]","49 miles/hour × 1.6 km/mile = 78.4 km/hour","1","","2025-07-19T02:53:00.514195+00:00","2025-09-05T23:58:09.7445+00:00","","","markdown","<p>The speed of a white-throated needletail, a type of bird, in flight was measured to be <span data-math=""49"" data-inline=""true""></span> miles per hour. What was the white-throated needletail&#39;s measured speed, in kilometers per hour? (Use <span data-math=""1"" data-inline=""true""></span> mile = <span data-math=""1.6"" data-inline=""true""></span> kilometers.)</p>","{""A"":""30.6"",""B"":""47.4"",""C"":""50.6"",""D"":""78.4""}","<p>49 miles/hour × 1.6 km/mile = 78.4 km/hour</p>","<p>The speed of a white-throated needletail, a type of bird, in flight was measured to be <span data-math=""49"" data-inline=""true""></span> miles per hour. What was the white-throated needletail&#39;s measured speed, in kilometers per hour? (Use <span data-math=""1"" data-inline=""true""></span> mile = <span data-math=""1.6"" data-inline=""true""></span> kilometers.)</p>","{""A"":""30.6"",""B"":""47.4"",""C"":""50.6"",""D"":""78.4""}","<p>49 miles/hour × 1.6 km/mile = 78.4 km/hour</p>","converted",""
"c64eaf55-7687-45a6-9f44-cd1263797517","6f4eb255-3d1a-4e4c-90f3-99364b63c91a","math2","2","multiple_choice","medium","The population of a certain city doubled every 25 years from 1660 to 1760. The population of this city was 208,000 in 1760. What was the population of this city in 1660?","","{""A"":""13,000"",""B"":""26,000"",""C"":""104,000"",""D"":""416,000""}","[""A""]","","1","","2025-07-15T22:36:53.334035+00:00","2025-09-06T00:00:02.885269+00:00","","","markdown","<p>The population of a certain city doubled every 25 years from 1660 to 1760. The population of this city was 208,000 in 1760. What was the population of this city in 1660?</p>","{""A"":""13,000"",""B"":""26,000"",""C"":""104,000"",""D"":""416,000""}","","<p>The population of a certain city doubled every 25 years from 1660 to 1760. The population of this city was 208,000 in 1760. What was the population of this city in 1660?</p>","{""A"":""13,000"",""B"":""26,000"",""C"":""104,000"",""D"":""416,000""}","","converted",""
"9d2aa79f-5ca9-4c2f-93a0-e42056d68fea","36380256-894d-43ea-aa98-4afc56efb964","english2","1","multiple_choice","medium","As with other river deltas, the Kolyma River delta is _______: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the East Siberian Sea.","","{""A"":""unrivaled"",""B"":""dynamic"",""C"":""sustainable"",""D"":""immutable""}","B","The description of constant evolution and change indicates the delta is ""dynamic.""","1","[""reading comprehension"",""vocabulary in context"",""geography""]","2025-08-09T04:07:09.07878+00:00","2025-09-06T00:10:49.673449+00:00","","","markdown","<p>As with other river deltas, the Kolyma River delta is <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 70px; height: 1.2em;""></span>: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the East Siberian Sea.</p>","{""A"":""unrivaled"",""B"":""dynamic"",""C"":""sustainable"",""D"":""immutable""}","<p>The description of constant evolution and change indicates the delta is &quot;dynamic.&quot;</p>","<p>As with other river deltas, the Kolyma River delta is <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 70px; height: 1.2em;""></span>: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the East Siberian Sea.</p>","{""A"":""unrivaled"",""B"":""dynamic"",""C"":""sustainable"",""D"":""immutable""}","<p>The description of constant evolution and change indicates the delta is &quot;dynamic.&quot;</p>","converted",""
"181d6cfe-a512-4b97-9d0f-640c02f3f59a","f47ac10b-58cc-4372-a567-0e02b2c3d479","english1","1","multiple_choice","easy","The following text is adapted from Mary Seacole's 1857 autobiography, Wonderful Adventures of Mrs. Seacole in Many Lands.

That journey across the Isthmus [of Panama], insignificant in distance as it was, was by no means an easy one. It seemed as if nature had determined to throw every __conceivable__ obstacle in the way of those who should seek to join the two great oceans of the world. 

As used in the text, what does the word ""conceivable"" most nearly mean?","","{""A"":""Imaginable"",""B"":""Obvious"",""C"":""Reasonable"",""D"":""{\""text\"":\""Dependable\""}""}","[""A""]","","1","","2025-07-16T02:51:39.429255+00:00","2025-09-05T23:23:04.550545+00:00","","","markdown","<p>The following text is adapted from Mary Seacole&#39;s 1857 autobiography, Wonderful Adventures of Mrs. Seacole in Many Lands.</p><br><p>That journey across the Isthmus [of Panama], insignificant in distance as it was, was by no means an easy one. It seemed as if nature had determined to throw every <u>conceivable</u> obstacle in the way of those who should seek to join the two great oceans of the world. </p><br><p>As used in the text, what does the word &quot;conceivable&quot; most nearly mean?</p>","{""A"":""Imaginable"",""B"":""Obvious"",""C"":""Reasonable"",""D"":""{\""text\"":\""Dependable\""}""}","","<p>The following text is adapted from Mary Seacole&#39;s 1857 autobiography, Wonderful Adventures of Mrs. Seacole in Many Lands.</p><br><p>That journey across the Isthmus [of Panama], insignificant in distance as it was, was by no means an easy one. It seemed as if nature had determined to throw every <u>conceivable</u> obstacle in the way of those who should seek to join the two great oceans of the world. </p><br><p>As used in the text, what does the word &quot;conceivable&quot; most nearly mean?</p>","{""A"":""Imaginable"",""B"":""Obvious"",""C"":""Reasonable"",""D"":""{\""text\"":\""Dependable\""}""}","","converted",""
"a6055e60-1559-4c77-b824-83de1f8920c8","6f4eb255-3d1a-4e4c-90f3-99364b63c91a","english2","4","multiple_choice","medium","The fact that publications by Federal Reserve Bank of Cleveland economist Loretta J. Mester, who studies central banking, are so frequently cited in other scholars' work ______ the usefulness of her research for her peers --- other economists clearly find her studies valuable for their own scholarship. 

Which choice completes the text with the most logical and precise word or phrase?","","{""A"":""underscores"",""B"":""overshadows"",""C"":""belies"",""D"":""forestalls""}","[""A""]","","1","","2025-07-15T22:36:53.334035+00:00","2025-09-06T00:00:03.64224+00:00","","","markdown","<p>The fact that publications by Federal Reserve Bank of Cleveland economist Loretta J. Mester, who studies central banking, are so frequently cited in other scholars&#39; work <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> the usefulness of her research for her peers — other economists clearly find her studies valuable for their own scholarship. </p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""underscores"",""B"":""overshadows"",""C"":""belies"",""D"":""forestalls""}","","<p>The fact that publications by Federal Reserve Bank of Cleveland economist Loretta J. Mester, who studies central banking, are so frequently cited in other scholars&#39; work <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> the usefulness of her research for her peers — other economists clearly find her studies valuable for their own scholarship. </p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""underscores"",""B"":""overshadows"",""C"":""belies"",""D"":""forestalls""}","","converted",""
"ad6b9d60-c9d3-4b9e-bf19-8f4191cfb992","6f4eb255-3d1a-4e4c-90f3-99364b63c91a","english1","4","multiple_choice","medium","The Betsiboka River delta is a remarkably ______ landscape: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the Indian Ocean. 

Which choice completes the text with the most logical and precise word or phrase?","","{""A"":""habitable"",""B"":""homogeneous"",""C"":""mutable"",""D"":""secluded""}","[""C""]","","1","","2025-07-15T22:36:53.334035+00:00","2025-09-06T00:00:03.858309+00:00","","","markdown","<p>The Betsiboka River delta is a remarkably <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> landscape: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the Indian Ocean. </p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""habitable"",""B"":""homogeneous"",""C"":""mutable"",""D"":""secluded""}","","<p>The Betsiboka River delta is a remarkably <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> landscape: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the Indian Ocean. </p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""habitable"",""B"":""homogeneous"",""C"":""mutable"",""D"":""secluded""}","","converted",""
"a06b3b4c-5e59-4536-afcb-8c8e211b4c00","6f7b3016-ee5f-467c-900d-20aaad9d4e2e","english1","2","multiple_choice","medium","Though most studies of the effect of altitude on blood chemistry usually concentrated on people who live above sea level, researchers Suleiman A. Al-Sweedan and Moath Alhaj have instead chosen the ______ path in their recent work of studying the blood of people who live below sea level, in locations such as the California towns of Salton City and Imperial.

Which choice completes the text with the most logical and precise word or phrase?","","{""A"":""predictable"",""B"":""timeworn"",""C"":""innovative"",""D"":""idealistic""}","[""C""]","","1","[""reading_comprehension""]","2025-09-06T05:39:20.095771+00:00","2025-09-06T05:39:20.095771+00:00","","","html","<div style=""font-size: 16px;"">
        <style>
          ul { list-style: disc !important; margin-left: 1.2em; }
          h4 { font-weight: bold !important; margin-top: 1.5em; }
        </style>
        <p>Though most studies of the effect of altitude on blood chemistry usually concentrated on people who live above sea level, researchers Suleiman A. Al-Sweedan and Moath Alhaj have instead chosen the <span class=""blank-line"" style=""text-decoration: underline; letter-spacing: 2px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span> path in their recent work of studying the blood of people who live below sea level, in locations such as the California towns of Salton City and Imperial.</p>
      </div>
      <div style=""font-size: 16px;"">
        <style>
          ul { list-style: disc !important; margin-left: 1.2em; }
          h4 { font-weight: bold !important; margin-top: 1.5em; }
        </style>
        <br>Which choice completes the text with the most logical and precise word or phrase?
      <div><div>","","","Though most studies of the effect of altitude on blood chemistry usually concentrated on people who live above sea level, researchers Suleiman A. Al-Sweedan and Moath Alhaj have instead chosen the ______ path in their recent work of studying the blood of people who live below sea level, in locations such as the California towns of Salton City and Imperial.

Which choice completes the text with the most logical and precise word or phrase?","{""A"":""predictable"",""B"":""timeworn"",""C"":""innovative"",""D"":""idealistic""}","","pending",""
"dfee6603-c0a6-4637-99ee-f8cba15a0191","f47ac10b-58cc-4372-a567-0e02b2c3d479","english1","2","multiple_choice","easy","The following text is adapted from John Matheus's 1926 short story, ""Mr. Bradford Teaches Sunday School."" Mr. Bradford is driving through the countryside in Florida.\n\nThe moss in the towering water oaks had become enlivened with a verdant sheen of silver and hung like festoons of carnival or like funeral decorations for the mourning of the dead. The pine green was resplendent. The bald cypresses spread themselves along the watercourses while the willows wept as they always did. Mr. Bradford was conscious of this gorgeous __display__ of nature.\n\nAs used in the text, what does the word ""display"" most nearly mean?","","{""A"":""Reproduction"",""B"":""Concealment"",""C"":""Pretentiousness"",""D"":""Exhibition""}","[""D""]","","1","","2025-07-16T02:51:39.429255+00:00","2025-09-05T23:23:05.291873+00:00","","","markdown","<p>The following text is adapted from John Matheus&#39;s 1926 short story, &quot;Mr. Bradford Teaches Sunday School.&quot; Mr. Bradford is driving through the countryside in Florida.</p><br><p>The moss in the towering water oaks had become enlivened with a verdant sheen of silver and hung like festoons of carnival or like funeral decorations for the mourning of the dead. The pine green was resplendent. The bald cypresses spread themselves along the watercourses while the willows wept as they always did. Mr. Bradford was conscious of this gorgeous <u>display</u> of nature.</p><br><p>As used in the text, what does the word &quot;display&quot; most nearly mean?</p>","{""A"":""Reproduction"",""B"":""Concealment"",""C"":""Pretentiousness"",""D"":""Exhibition""}","","<p>The following text is adapted from John Matheus&#39;s 1926 short story, &quot;Mr. Bradford Teaches Sunday School.&quot; Mr. Bradford is driving through the countryside in Florida.</p><br><p>The moss in the towering water oaks had become enlivened with a verdant sheen of silver and hung like festoons of carnival or like funeral decorations for the mourning of the dead. The pine green was resplendent. The bald cypresses spread themselves along the watercourses while the willows wept as they always did. Mr. Bradford was conscious of this gorgeous <u>display</u> of nature.</p><br><p>As used in the text, what does the word &quot;display&quot; most nearly mean?</p>","{""A"":""Reproduction"",""B"":""Concealment"",""C"":""Pretentiousness"",""D"":""Exhibition""}","","converted",""
