"id","exam_id","module_type","question_number","question_type","difficulty_level","question_markdown_backup","question_image_url","options_markdown_backup","correct_answer","explanation_markdown_backup","points","topic_tags","created_at","updated_at","table_data","correct_answers","content_format","question_html","options_html","explanation_html","question_text","options","explanation","html_migration_status","deleted_at"
"c6d36c6b-5d8c-48a0-be5c-28830aff8e00","550e8400-e29b-41d4-a716-446655440001","math1","1","multiple_choice","medium","The graph shows a toy car's height above the ground $y$, in inches, $x$ seconds after it started moving on an elevated track. Which of the following is the best interpretation of the $y$-intercept of the graph?","","{""A"":""The toy car's height was 0 inches above the ground 8 seconds after it started moving."",""B"":""The toy car's height was 8 inches above the ground when it started moving."",""C"":""The toy car's minimum height was 0 inches above the ground."",""D"":""The toy car's minimum height was 8 inches above the ground.""}","B","","1","[""function interpretation"",""graphing"",""physics applications""]","2025-08-12T04:29:52.016341+00:00","2025-09-06T00:16:43.464744+00:00","","","markdown","<p>The graph shows a toy car&#39;s height above the ground <span data-math=""y"" data-inline=""true""></span>, in inches, <span data-math=""x"" data-inline=""true""></span> seconds after it started moving on an elevated track. Which of the following is the best interpretation of the <span data-math=""y"" data-inline=""true""></span>-intercept of the graph?</p>","{""A"":""The toy car's height was 0 inches above the ground 8 seconds after it started moving."",""B"":""The toy car's height was 8 inches above the ground when it started moving."",""C"":""The toy car's minimum height was 0 inches above the ground."",""D"":""The toy car's minimum height was 8 inches above the ground.""}","","<p>The graph shows a toy car&#39;s height above the ground <span data-math=""y"" data-inline=""true""></span>, in inches, <span data-math=""x"" data-inline=""true""></span> seconds after it started moving on an elevated track. Which of the following is the best interpretation of the <span data-math=""y"" data-inline=""true""></span>-intercept of the graph?</p>","{""A"":""The toy car's height was 0 inches above the ground 8 seconds after it started moving."",""B"":""The toy car's height was 8 inches above the ground when it started moving."",""C"":""The toy car's minimum height was 0 inches above the ground."",""D"":""The toy car's minimum height was 8 inches above the ground.""}","","converted",""
"9d2aa79f-5ca9-4c2f-93a0-e42056d68fea","36380256-894d-43ea-aa98-4afc56efb964","english2","1","multiple_choice","medium","As with other river deltas, the Kolyma River delta is _______: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the East Siberian Sea.","","{""A"":""unrivaled"",""B"":""dynamic"",""C"":""sustainable"",""D"":""immutable""}","B","The description of constant evolution and change indicates the delta is ""dynamic.""","1","[""reading comprehension"",""vocabulary in context"",""geography""]","2025-08-09T04:07:09.07878+00:00","2025-09-06T00:10:49.673449+00:00","","","markdown","<p>As with other river deltas, the Kolyma River delta is <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 70px; height: 1.2em;""></span>: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the East Siberian Sea.</p>","{""A"":""unrivaled"",""B"":""dynamic"",""C"":""sustainable"",""D"":""immutable""}","<p>The description of constant evolution and change indicates the delta is &quot;dynamic.&quot;</p>","<p>As with other river deltas, the Kolyma River delta is <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 70px; height: 1.2em;""></span>: it is a constantly evolving network of channels and strips of land that change in size and shape as the river deposits new sedimentary particles where the river meets the waters of the East Siberian Sea.</p>","{""A"":""unrivaled"",""B"":""dynamic"",""C"":""sustainable"",""D"":""immutable""}","<p>The description of constant evolution and change indicates the delta is &quot;dynamic.&quot;</p>","converted",""
"69dcd783-d0ee-493e-b69f-a66aede9be6b","550e8400-e29b-41d4-a716-446655440001","english1","1","multiple_choice","medium","In the 1990s, conservationists began planting more than 500,000 native trees in the habitat of the Azores bullfinch to boost the bird's numbers. This approach was apparently _____ : the Azores bullfinch's population size increased from as few as 100 birds at the end of the 1980s to around 1,300 in 2023.

Which choice completes the text with the most logical and precise word or phrase?","","{""A"":""amusing"",""B"":""successful"",""C"":""disastrous"",""D"":""costly""}","B","","1","[""reading comprehension"",""vocabulary"",""environmental science""]","2025-08-12T04:27:36.454175+00:00","2025-09-06T00:16:43.584791+00:00","","","markdown","<p>In the 1990s, conservationists began planting more than 500,000 native trees in the habitat of the Azores bullfinch to boost the bird&#39;s numbers. This approach was apparently <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> : the Azores bullfinch&#39;s population size increased from as few as 100 birds at the end of the 1980s to around 1,300 in 2023.</p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""amusing"",""B"":""successful"",""C"":""disastrous"",""D"":""costly""}","","<p>In the 1990s, conservationists began planting more than 500,000 native trees in the habitat of the Azores bullfinch to boost the bird&#39;s numbers. This approach was apparently <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> : the Azores bullfinch&#39;s population size increased from as few as 100 birds at the end of the 1980s to around 1,300 in 2023.</p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""amusing"",""B"":""successful"",""C"":""disastrous"",""D"":""costly""}","","converted",""
"5f53be49-a7e4-4e2e-b0d6-7185c1e22cd6","4796f645-9975-4872-b466-e3b5248dcc6c","math1","6","multiple_choice","easy","$$f(x) = 7x + b$$\nFor the linear function $f$, $b$ is a constant and $f(8) = 56$. What is the value of $b$?","","{""A"":""$0$"",""B"":""$1$"",""C"":""$7$"",""D"":""$8$""}","A","","1","","2025-07-18T03:43:03.208217+00:00","2025-10-03T23:31:02.776795+00:00","","","markdown","","","","$$f(x) = 7x + b$$\nFor the linear function $f$, $b$ is a constant and $f(8) = 56$. What is the value of $b$?","{""A"":""$0$"",""B"":""$1$"",""C"":""$7$"",""D"":""$8$""}","","pending",""
"6ada9768-2c15-4681-9aa2-f5f9766622e2","550e8400-e29b-41d4-a716-446655440001","english2","3","multiple_choice","medium","The fact that publications by University of Manchester economist Rachel Griffith, who studies taxation and food economics, are so frequently cited in other scholars' work ______ the usefulness of her research for her peers—other economists clearly find her studies valuable for their own scholarship.

Which choice completes the text with the most logical and precise word or phrase?","","{""A"":""forestalls"",""B"":""underscores"",""C"":""overshadows"",""D"":""belies""}","B","","1","[""reading comprehension"",""vocabulary"",""academic writing""]","2025-08-12T04:29:29.440187+00:00","2025-09-06T00:16:44.300466+00:00","","","markdown","<p>The fact that publications by University of Manchester economist Rachel Griffith, who studies taxation and food economics, are so frequently cited in other scholars&#39; work <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> the usefulness of her research for her peers—other economists clearly find her studies valuable for their own scholarship.</p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""forestalls"",""B"":""underscores"",""C"":""overshadows"",""D"":""belies""}","","<p>The fact that publications by University of Manchester economist Rachel Griffith, who studies taxation and food economics, are so frequently cited in other scholars&#39; work <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> the usefulness of her research for her peers—other economists clearly find her studies valuable for their own scholarship.</p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""forestalls"",""B"":""underscores"",""C"":""overshadows"",""D"":""belies""}","","converted",""
"713535a5-1d42-4f65-a6c1-fc3816eaea79","f8b2d4c1-9a3e-4f5c-b7d8-1e2a3b4c5d6e","math2","13","grid_in","hard","$$x^2 + 5x = 37$$The solutions to the given equation are $\frac{m+ \sqrt{q}}{2}$ and $\frac{m- \sqrt{q}}{2}$, where $m$ and $q$ are integers. What is the value of $m + q$?","","{}","[""168""]","","1","","2025-07-18T14:29:43.510221+00:00","2025-09-05T19:48:15.826153+00:00","","[""[\""168\""]""]","markdown","","","","$$x^2 + 5x = 37$$The solutions to the given equation are $\frac{m+ \sqrt{q}}{2}$ and $\frac{m- \sqrt{q}}{2}$, where $m$ and $q$ are integers. What is the value of $m + q$?","{}","","pending",""
"f8a88714-5f3c-4319-bfed-3f0e0c2118b0","8d091615-1b91-40a5-bc3a-bd2c44618b02","math2","21","grid_in","hard","For triangle **ABC**, the length of $\overline{AB}$ is 11 less than the length of $\overline{AC}$. Point **D** (not shown) lies on $\overline{AC}$ such that $\overline{BD}$ (not shown) is perpendicular to $\overline{AC}$.\n\nWhat is the value of $\overline{BD}$?","https://eoyzqdsxlweygsukjnef.supabase.co/storage/v1/object/sign/question-images/FullPractice-math2-q21.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9kMjJjNGE1ZS0yZWI0LTQzNWQtODBiOS1lNDAwNGFhMGQ3YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJxdWVzdGlvbi1pbWFnZXMvRnVsbFByYWN0aWNlLW1hdGgyLXEyMS5wbmciLCJpYXQiOjE3NTI4OTE2NzgsImV4cCI6MTc4NDQyNzY3OH0.LTtTCcfNknvVgAlaGvMrquhJUV8kqWNcmN2om9H6-PQ","","[""""]","","1","","2025-07-19T02:23:29.613912+00:00","2025-09-05T19:48:15.826153+00:00","","[""[\""\""]""]","markdown","","","","For triangle **ABC**, the length of $\overline{AB}$ is 11 less than the length of $\overline{AC}$. Point **D** (not shown) lies on $\overline{AC}$ such that $\overline{BD}$ (not shown) is perpendicular to $\overline{AC}$.\n\nWhat is the value of $\overline{BD}$?","","","pending",""
"554cd4ae-fd58-4ad7-9e05-c58a5b4092a3","550e8400-e29b-41d4-a716-446655440001","english1","3","multiple_choice","medium","Posed in 1895, the Painlevé conjecture _____ many mathematicians before yielding to the efforts of Jinxin Xue, who presented a proof of it in 2014.

Which choice completes the text with the most logical and precise word or phrase?","","{""A"":""indoctrinated"",""B"":""appeased"",""C"":""confounded"",""D"":""disregarded""}","B","","1","[""reading comprehension"",""vocabulary"",""mathematics""]","2025-08-12T04:27:36.454175+00:00","2025-09-06T00:16:44.516217+00:00","","","markdown","<p>Posed in 1895, the Painlevé conjecture <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> many mathematicians before yielding to the efforts of Jinxin Xue, who presented a proof of it in 2014.</p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""indoctrinated"",""B"":""appeased"",""C"":""confounded"",""D"":""disregarded""}","","<p>Posed in 1895, the Painlevé conjecture <span class=""fill-blank"" style=""display: inline-block; border-bottom: 1px solid #000; width: 60px; height: 1.2em;""></span> many mathematicians before yielding to the efforts of Jinxin Xue, who presented a proof of it in 2014.</p><br><p>Which choice completes the text with the most logical and precise word or phrase?</p>","{""A"":""indoctrinated"",""B"":""appeased"",""C"":""confounded"",""D"":""disregarded""}","","converted",""
"33983a8d-ca0a-4d09-8cfc-63a5aa378e4d","8d091615-1b91-40a5-bc3a-bd2c44618b02","english2","6","multiple_choice","hard","**Text 1**\nFor thousands of years, O'odham farmers in the Sonoran desert of the southwestern US and northern Mexico have cultivated elderberries and chia seeds, sometimes planting these species together so that the elderberry bushes provide shade for chia flowers. Doing so helps protect chia flowers from the harshest heat and light and thereby helps prevent soil moisture from evaporating.\n\n**Text 2**\nChia flowers are well adapted to growing in the desert but grow best when shaded. Inspired by O'odham farmers, who often strategically plant chia flowers in the shade of sun-hardy species like elderberry bushes for protection the sun and heat, Gary Nabhan and colleagues planted chia flowers in the shade of solar panels in the Sonoran desert and found that the plants grew well, suggesting to Nabhan and colleagues that the panels provide a benefit similar to that provided by elderberry bushes.\n\nBased on the texts, the author of Text 1 and the author of Text 2 would most likely agree on which point?","","{""A"":""Elderberry bushes can provide shade that protects chia flowers from high-intensity heat and light."",""B"":""Nabhan's team's method could be refined to more actively prevent soil moisture from evaporating."",""C"":""Compared with Nabhan's approach, the O'odham approach has the advantage of producing chia seeds."",""D"":""Elderberry bushes grow best when planted in shaded areas, while chia flowers do not require shade to thrive.""}","[""""]","","1","","2025-07-19T02:23:29.613912+00:00","2025-09-05T19:48:15.826153+00:00","","","markdown","","","","**Text 1**\nFor thousands of years, O'odham farmers in the Sonoran desert of the southwestern US and northern Mexico have cultivated elderberries and chia seeds, sometimes planting these species together so that the elderberry bushes provide shade for chia flowers. Doing so helps protect chia flowers from the harshest heat and light and thereby helps prevent soil moisture from evaporating.\n\n**Text 2**\nChia flowers are well adapted to growing in the desert but grow best when shaded. Inspired by O'odham farmers, who often strategically plant chia flowers in the shade of sun-hardy species like elderberry bushes for protection the sun and heat, Gary Nabhan and colleagues planted chia flowers in the shade of solar panels in the Sonoran desert and found that the plants grew well, suggesting to Nabhan and colleagues that the panels provide a benefit similar to that provided by elderberry bushes.\n\nBased on the texts, the author of Text 1 and the author of Text 2 would most likely agree on which point?","{""A"":""Elderberry bushes can provide shade that protects chia flowers from high-intensity heat and light."",""B"":""Nabhan's team's method could be refined to more actively prevent soil moisture from evaporating."",""C"":""Compared with Nabhan's approach, the O'odham approach has the advantage of producing chia seeds."",""D"":""Elderberry bushes grow best when planted in shaded areas, while chia flowers do not require shade to thrive.""}","","pending",""
"77001909-27d8-4ec0-850e-b3e02f102010","550e8400-e29b-41d4-a716-446655440001","english1","4","multiple_choice","medium","The following text is adapted from John Matheus's 1925 short story ""Fog.""
The fog extended its tentacles over city and river, gradually obliterating traces of familiar landscapes. At five-thirty the old Panhandle bridge, supported by massive sandstone pillars, stalwart, as when erected fifty years before to serve a generation now passed behind the portals of life, had become a spectral outline against the sky.

As used in the text, what does the word ""traces"" most nearly mean?","","{""A"":""Copies"",""B"":""Memories"",""C"":""Indications"",""D"":""Relics""}","D","","1","[""reading comprehension"",""vocabulary"",""literary analysis""]","2025-08-12T04:27:36.454175+00:00","2025-09-06T00:16:44.890127+00:00","","","markdown","<p>The following text is adapted from John Matheus&#39;s 1925 short story &quot;Fog.&quot;<br>The fog extended its tentacles over city and river, gradually obliterating traces of familiar landscapes. At five-thirty the old Panhandle bridge, supported by massive sandstone pillars, stalwart, as when erected fifty years before to serve a generation now passed behind the portals of life, had become a spectral outline against the sky.</p><br><p>As used in the text, what does the word &quot;traces&quot; most nearly mean?</p>","{""A"":""Copies"",""B"":""Memories"",""C"":""Indications"",""D"":""Relics""}","","<p>The following text is adapted from John Matheus&#39;s 1925 short story &quot;Fog.&quot;<br>The fog extended its tentacles over city and river, gradually obliterating traces of familiar landscapes. At five-thirty the old Panhandle bridge, supported by massive sandstone pillars, stalwart, as when erected fifty years before to serve a generation now passed behind the portals of life, had become a spectral outline against the sky.</p><br><p>As used in the text, what does the word &quot;traces&quot; most nearly mean?</p>","{""A"":""Copies"",""B"":""Memories"",""C"":""Indications"",""D"":""Relics""}","","converted",""
